AMSAssetRef,Latitude,Longitude,State,SnowIceRegion,CorrosionRegionType,StructureClassCode,Height,PaintingType,StructureLoadPercentage,InspectionFrequency
ACT002093_STR_1,-35.207718,149.11427,ACT,No,B (Low),Pole Concrete,20.0,Not Painted,91,8.0
ACT002244_STR_1,-35.17994,149.13367,ACT,No,B (Low),Pole Steel,20.0,Not Painted,77,7.0
ACT002305_STR_1,-35.14443,149.0905,ACT,No,B (Low),Pole Steel,15.0,Not Painted,90,10.0
ACT002337_STR_1,-35.34503,149.13486,ACT,No,B (Low),Pole Steel,22.0,Environment / Aesthetic,73,8.0
ACT002399_STR_1,-35.39245,149.17082,ACT,No,B (Low),Pole Steel,12.0,Not Painted,70,7.0
ACT002400_STR_1,-35.253635,149.08093,ACT,No,B (Low),Pole Steel,20.0,Not Painted,100,8.0
ACT002401_STR_1,-35.202439,149.025556,ACT,No,B (Low),Pole Steel,20.0,Not Painted,99,8.0
ACT002423_STR_1,-35.435802,149.12442,ACT,No,B (Low),Pole Steel,20.0,Not Painted,50,8.0
ACT002424_STR_1,-35.42086,149.10312,ACT,No,B (Low),Pole Steel,20.0,Not Painted,48,8.0
ACT002463_STR_1,-35.22653,149.1044,ACT,No,B (Low),Pole Steel,20.0,Not Painted,90,8.0
ACT002544_STR_1,-35.321075,149.115,ACT,No,B (Low),Pole Steel,12.0,Environment / Aesthetic,70,8.0
ACT002629_STR_1,-35.37016,149.0954,ACT,No,B (Low),Pole Steel,22.0,Not Painted,100,8.0
ACT002755_STR_1,-35.244583,149.06532,ACT,No,B (Low),Pole Concrete,15.0,Not Painted,100,7.0
ACT002814_STR_1,-35.303382499,149.030166709,ACT,No,B (Low),Pole Concrete,35.0,Environment / Aesthetic,52,7.0
ACT002815_STR_1,-35.33758,149.14955,ACT,No,B (Low),Pole Steel,20.0,Not Painted,68,7.0
ACT002817_STR_1,-35.177925,149.09749,ACT,No,B (Low),Pole Steel,25.0,Not Painted,100,8.0
ACT003195_STR_1,-35.459060533,149.089427552,ACT,No,B (Low),Pole Steel,22.3,Not Painted,60,8.0
ACT003464_STR_1,-35.184692,149.1555,ACT,No,B (Low),Pole Steel,13.5,Not Painted,37,5.0
ACT003845_STR_1,-35.32544,149.09695,ACT,No,B (Low),Pole Steel,30.0,Not Painted,76,7.0
ACT004047_STR_1,-35.23996,149.14899,ACT,No,B (Low),Pole Steel,25.0,Not Painted,32,7.0
ACT004128_STR_1,-35.297245,149.18636,ACT,No,B (Low),Pole Concrete,35.0,Not Painted,56,9.0
ACT006342_STR_1,-35.29805,149.15892,ACT,No,B (Low),Pole Steel,20.0,Not Painted,94,8.0
ACT006388_STR_1,-35.322239629,149.136633226,ACT,No,B (Low),Pole Concrete,12.1,Not Painted,100,6.0
ACT006388_STR_2,-35.32223,149.13682,ACT,No,B (Low),Pole Concrete,30.0,Not Painted,26,6.0
ACT006394_STR_1,-35.469105,149.08914,ACT,No,B (Low),Pole Steel,20.0,Not Painted,92,7.0
ACT006404_STR_1,-35.280514,149.11546,ACT,No,B (Low),Pole Steel,22.0,Not Painted,79,7.0
ACT006515_STR_1,-35.174835,149.07863,ACT,No,B (Low),Pole Concrete,25.0,Environment / Aesthetic,100,10.0
ACT006615_STR_1,-35.23721394,149.18240565,ACT,No,B (Low),Tower Timber,10.7,Not Painted,100,8.0
ACT006634_STR_1,-35.13294,150.70387,ACT,No,E (Very High),Mast Free Standing,18.9,Not Painted,61,3.0
ACT006636_STR_1,-35.241405,149.02615,ACT,No,B (Low),Pole Steel,25.0,Not Painted,82,9.0
ACT006882_STR_1,-35.24851,149.07277,ACT,No,B (Low),Pole Timber,15.0,Not Painted,90,5.0
ACT006886_STR_1,-35.275288,149.09782,ACT,No,B (Low),Building External,195.0,Not Painted,100,5.0
ACT006932_STR_1,-35.230278,149.14613,ACT,No,B (Low),Pole Steel,30.0,Not Painted,50,8.0
ACT007057_STR_1,-35.334595,149.1764,ACT,No,B (Low),Pole Steel,30.0,Not Painted,60,7.0
ACT007085_STR_1,-35.34328,149.0492,ACT,No,B (Low),Pole Concrete,25.0,Environment / Aesthetic,85,7.0
ACT007163_STR_1,-35.21966,149.13734,ACT,No,B (Low),Pole Steel,25.0,Not Painted,81,7.0
ACT008042_STR_1,-35.35105,149.09012,ACT,No,B (Low),Pole Steel,20.0,Not Painted,72,7.0
NSW000007_STR_1,-32.626040875,141.440989549,NSW,No,B (Low),Mast Guyed,80.0,Aviation,100,5.0
NSW000049_STR_1,-33.64884,150.86506,NSW,No,C (Medium),Pole Steel,30.0,Not Painted,99,8.0
NSW000054_STR_1,-33.500835,145.54271,NSW,No,B (Low),Mast Guyed,100.0,Aviation,100,5.0
NSW000055_STR_1,-29.98656,146.84723,NSW,No,B (Low),Mast Guyed,100.0,Aviation,100,5.0
NSW000068_STR_1,-31.957956,141.46497,NSW,No,B (Low),Tower Steel,45.7,Not Painted,100,6.0
NSW000811_STR_1,-32.047775,141.17055,NSW,No,B (Low),Tower Steel,45.72,Not Painted,54,9.0
NSW000878_STR_1,-32.01954,149.39507,NSW,No,B (Low),Tower Steel,30.0,Not Painted,68,6.0
NSW000879_STR_1,-31.822780969,149.719894631,NSW,No,B (Low),Tower Steel,22.86,Not Painted,55,6.0
NSW000882_STR_1,-36.4933,148.28786,NSW,Yes,A (Very Low),Tower Steel,7.48,Environment / Aesthetic,88,7.0
NSW000886_STR_1,-33.77187,150.86601,NSW,No,C (Medium),Pole Steel,30.0,Not Painted,94,4.0
NSW000911_STR_1,-33.818806,150.78079,NSW,No,C (Medium),Pole Concrete,30.0,Not Painted,33,7.0
NSW001697_STR_1,-35.489276806,148.140519044,NSW,No,B (Low),Tower Steel,50.0,Not Painted,90,9.0
NSW001725_STR_1,-35.229645952,144.393691365,NSW,No,B (Low),Pole Concrete,25.0,Not Painted,63,10.0
NSW001759_STR_1,-35.626246558,150.01880837,NSW,No,B (Low),Tower Steel,40.0,Not Painted,75,7.0
NSW001761_STR_1,-34.336285,150.16537,NSW,No,B (Low),Tower Steel,30.5,Not Painted,95,8.0
NSW001764_STR_1,-34.938906534,147.742530257,NSW,No,B (Low),Mast Free Standing,18.0,Not Painted,20,9.0
NSW001788_STR_1,-29.2548,150.8213,NSW,No,B (Low),Mast Guyed,80.0,Not Painted,85,5.0
NSW001791_STR_1,-31.564348,143.2609,NSW,No,B (Low),Mast Guyed,100.0,Not Painted,65,5.0
NSW001793_STR_1,-32.556255,148.94392,NSW,No,B (Low),Pole Concrete,14.5,Not Painted,50,7.0
NSW001806_STR_1,-30.978524,150.25623,NSW,No,B (Low),Tower Steel,15.3,Not Painted,50,6.0
NSW001807_STR_1,-32.95195,151.74696,NSW,No,E (Very High),Pole Steel,15.0,Not Painted,96,5.0
NSW001813_STR_1,-30.48743,150.64108,NSW,No,B (Low),Pole Concrete,21.0,Environment / Aesthetic,99,10.0
NSW001814_STR_1,-30.729951033,150.648680972,NSW,No,B (Low),Pole Concrete,20.6,Not Painted,93,10.0
NSW001819_STR_1,-31.13171,149.71103,NSW,No,B (Low),Pole Concrete,20.0,Not Painted,84,10.0
NSW001820_STR_1,-29.870956632,150.591053228,NSW,No,B (Low),Pole Concrete,21.0,Not Painted,79,10.0
NSW001821_STR_1,-29.04547378,150.44327766,NSW,No,B (Low),Pole Concrete,20.0,Not Painted,100,10.0
NSW001834_STR_1,-29.866982,150.57156,NSW,No,B (Low),Tower Steel,38.1,Not Painted,50,6.0
NSW001839_STR_1,-31.69361036,143.81936144,NSW,No,B (Low),Mast Guyed,79.2,Aviation,76,5.0
NSW001840_STR_1,-34.024914,151.10544,NSW,No,C (Medium),Pole Steel,30.0,Not Painted,53,4.0
NSW001841_STR_1,-31.098080395,149.911409913,NSW,No,B (Low),Tower Steel,30.0,Not Painted,80,6.0
NSW001859_STR_1,-33.42991188,150.81662492,NSW,No,B (Low),Tower Steel,30.0,Not Painted,67,8.0
NSW001860_STR_1,-31.454300403,151.100891464,NSW,No,B (Low),Tower Steel,30.0,Not Painted,90,9.0
NSW001864_STR_2,-33.49476,150.71703,NSW,No,B (Low),Pole Concrete,12.0,Not Painted,27,9.0
NSW001866_STR_1,-29.582609074,150.334448081,NSW,No,B (Low),Tower Steel,30.0,Not Painted,70,6.0
NSW001867_STR_1,-32.319600645,149.026516027,NSW,No,B (Low),Pole Concrete,40.0,Not Painted,85,9.0
NSW001873_STR_1,-33.47935648,150.158598744,NSW,No,B (Low),Building External,11.3,Not Painted,50,5.0
NSW001874_STR_1,-35.93863655,149.403042793,NSW,No,B (Low),Mast Free Standing,15.0,Not Painted,65,9.0
NSW001877_STR_1,-36.252430302,149.078147889,NSW,No,B (Low),Tower Steel,22.86,Environment / Aesthetic,70,9.0
NSW001878_STR_1,-32.098651108,152.380443418,NSW,No,C (Medium),Pole Timber,10.0,Not Painted,50,6.0
NSW001887_STR_1,-30.277935,153.00488,NSW,No,C (Medium),Pole Steel,18.0,Not Painted,20,8.0
NSW001889_STR_1,-32.33264,148.75757,NSW,No,B (Low),Tower Steel,30.0,Not Painted,38,6.0
NSW001890_STR_1,-33.46795,150.759539,NSW,No,B (Low),Tower Steel,30.0,Not Painted,55,8.0
NSW001891_STR_1,-30.51766,152.056839,NSW,No,B (Low),Tower Steel,20.0,Not Painted,50,8.0
NSW001893_STR_1,-34.5322575,148.328680556,NSW,No,B (Low),Mast Guyed,100.0,Aviation,100,5.0
NSW001898_STR_1,-31.92127575,152.181735068,NSW,No,C (Medium),Tower Steel,54.0,Not Painted,80,7.0
NSW001900_STR_1,-33.444645,151.15411,NSW,No,C (Medium),Pole Concrete,40.0,Not Painted,83,6.0
NSW001908_STR_1,-33.980036758,145.709400466,NSW,No,B (Low),Pole Concrete,30.0,Not Painted,88,7.0
NSW001909_STR_1,-29.49713,150.58126,NSW,No,B (Low),Tower Steel,53.0,Not Painted,100,9.0
NSW001913_STR_1,-33.09354,148.86908,NSW,No,B (Low),Tower Steel,30.48,Not Painted,50,6.0
NSW001914_STR_1,-31.807414366,149.310300972,NSW,No,B (Low),Mast Guyed,100.0,Not Painted,71,5.0
NSW001920_STR_1,-32.830533333,149.152965833,NSW,No,B (Low),Pole Concrete,30.0,Not Painted,100,10.0
NSW001926_STR_1,-33.82514,151.23842,NSW,No,C (Medium),Pole Steel,25.0,Environment / Aesthetic,79,5.0
NSW001930_STR_1,-29.558311111,150.305967222,NSW,No,B (Low),Pole Concrete,20.0,Not Painted,76,10.0
NSW001942_STR_1,-34.93625,150.56932,NSW,No,C (Medium),Pole Steel,18.16,Not Painted,99,9.0
NSW001946_STR_1,-28.402295278,153.523286389,NSW,No,C (Medium),Tower Steel,52.88,Not Painted,100,6.0
NSW001948_STR_1,-35.932266,147.74205,NSW,No,B (Low),Pole Steel,30.0,Not Painted,96,10.0
NSW001956_STR_1,-28.934145,150.109,NSW,No,B (Low),Pole Concrete,20.0,Not Painted,90,10.0
NSW001965_STR_1,-33.78022,150.7117,NSW,No,C (Medium),Pole Concrete,25.0,Not Painted,97,8.0
NSW001970_STR_1,-35.721423,146.590253,NSW,No,B (Low),Pole Concrete,20.0,Not Painted,41,10.0
NSW001972_STR_1,-28.63859,152.517203,NSW,No,B (Low),Pole Steel,30.0,Not Painted,52,5.0
NSW001973_STR_1,-32.540067183,151.524175184,NSW,No,C (Medium),Pole Steel,30.0,Not Painted,96,8.0
NSW001974_STR_1,-34.194867,144.103342,NSW,No,B (Low),Tower Steel,50.0,Not Painted,55,8.0
NSW001975_STR_1,-33.875436179,146.626965348,NSW,No,B (Low),Pole Concrete,25.0,Not Painted,52,7.0
NSW001976_STR_1,-33.862150893,146.700427778,NSW,No,B (Low),Pole Steel,20.0,Not Painted,94,10.0
NSW001979_STR_1,-36.24258085,148.151755299,NSW,No,B (Low),Pole Steel,20.0,Not Painted,50,10.0
NSW001995_STR_1,-28.38598,152.64425,NSW,No,B (Low),Pole Concrete,20.0,Not Painted,90,8.0
NSW002012_STR_1,-32.74276,151.8592,NSW,No,C (Medium),Pole Concrete,30.0,Not Painted,52,7.0
NSW002017_STR_1,-33.678986,151.12068,NSW,No,C (Medium),Pole Steel,20.0,Environment / Aesthetic,98,7.0
NSW002031_STR_1,-33.902,150.97215,NSW,No,C (Medium),Pole Steel,36.4,Not Painted,100,7.0
NSW002033_STR_1,-32.564083333,151.780480556,NSW,No,C (Medium),Pole Steel,20.0,Not Painted,78,7.0
NSW002036_STR_1,-33.169142,148.648572,NSW,No,B (Low),Pole Concrete,20.0,Not Painted,100,10.0
NSW002038_STR_1,-32.744496393,152.169099567,NSW,No,E (Very High),Pole Concrete,22.8,Not Painted,68,4.0
NSW002039_STR_1,-33.100972524,148.833425849,NSW,No,B (Low),Pole Concrete,20.0,Not Painted,100,10.0
NSW002040_STR_1,-33.35412,150.016,NSW,No,B (Low),Pole Steel,30.0,Not Painted,90,10.0
NSW002041_STR_1,-31.96953,152.58485,NSW,No,E (Very High),Pole Concrete,20.0,Not Painted,47,4.0
NSW002050_STR_1,-34.359236389,150.481071667,NSW,No,C (Medium),Pole Concrete,20.0,Not Painted,90,7.0
NSW002051_STR_1,-32.417259585,151.973502729,NSW,No,C (Medium),Pole Concrete,26.0,Not Painted,100,9.0
NSW002052_STR_1,-33.45749,148.37089,NSW,No,B (Low),Pole Steel,30.0,Not Painted,55,10.0
NSW002053_STR_1,-32.377913056,152.5018025,NSW,No,C (Medium),Tower Steel,40.0,Not Painted,98,4.0
NSW002054_STR_1,-30.642143602,152.87790294,NSW,No,C (Medium),Pole Concrete,30.0,Not Painted,96,8.0
NSW002061_STR_1,-31.85691,152.407053,NSW,No,C (Medium),Tower Steel,45.0,Not Painted,97,7.0
NSW002063_STR_1,-35.798923,150.22163,NSW,No,E (Very High),Pole Concrete,35.0,Environment / Aesthetic,96,6.0
NSW002064_STR_1,-32.33637227,152.525608872,NSW,No,C (Medium),Tower Steel,45.0,Not Painted,100,6.0
NSW002065_STR_1,-32.7318,148.1986,NSW,No,B (Low),Tower Steel,60.0,Not Painted,100,9.0
NSW002069_STR_1,-34.572639167,145.999403333,NSW,No,B (Low),Tower Steel,50.0,Not Painted,95,7.0
NSW002070_STR_1,-35.668476,147.03674,NSW,No,B (Low),Pole Concrete,26.0,Not Painted,96,7.0
NSW002091_STR_1,-35.97950415,146.640581007,NSW,No,B (Low),Pole Concrete,35.0,Not Painted,87,7.0
NSW002094_STR_1,-32.41741926,150.963748903,NSW,No,B (Low),Pole Concrete,20.0,Not Painted,65,9.0
NSW002102_STR_1,-35.56173,146.16289,NSW,No,B (Low),Pole Concrete,20.0,Not Painted,99,9.0
NSW002116_STR_1,-31.36741001,148.48828461,NSW,No,B (Low),Mast Guyed,102.0,Not Painted,89,5.0
NSW002117_STR_1,-35.596657673,149.441210188,NSW,No,B (Low),Pole Concrete,25.0,Not Painted,55,9.0
NSW002155_STR_1,-36.02217,148.74124,NSW,Yes,A (Very Low),Pole Concrete,30.0,Not Painted,100,10.0
NSW002182_STR_1,-30.234032047,146.879932785,NSW,No,B (Low),Mast Guyed,70.0,Aviation,98,5.0
NSW002184_STR_1,-33.61214,146.98326,NSW,No,B (Low),Mast Guyed,102.0,Aviation,100,5.0
NSW002185_STR_1,-29.832551478,152.882296402,NSW,No,C (Medium),Pole Concrete,20.0,Not Painted,100,8.0
NSW002186_STR_1,-29.59590944,152.59419276,NSW,No,B (Low),Pole Concrete,26.0,Not Painted,100,10.0
NSW002217_STR_1,-29.06235,151.10264,NSW,No,B (Low),Pole Concrete,21.0,Not Painted,88,9.0
NSW002220_STR_1,-31.65624,152.81481,NSW,No,E (Very High),Pole Concrete,30.0,Not Painted,92,5.0
NSW002228_STR_1,-34.930184,150.74796,NSW,No,C (Medium),Pole Concrete,40.0,Not Painted,96,6.0
NSW002240_STR_1,-35.25683,150.50475,NSW,No,C (Medium),Pole Concrete,30.0,Not Painted,75,7.0
NSW002250_STR_1,-33.98118,150.88396,NSW,No,C (Medium),Pole Concrete,30.0,Not Painted,66,6.0
NSW002262_STR_1,-32.367172,149.54263,NSW,No,B (Low),Pole Steel,25.0,Protection,93,8.0
NSW002273_STR_1,-28.3444,153.5614,NSW,No,C (Medium),Pole Concrete,30.0,Environment / Aesthetic,98,8.0
NSW002277_STR_1,-32.883403674,151.263440757,NSW,No,C (Medium),Pole Concrete,30.0,Environment / Aesthetic,57,8.0
NSW002286_STR_1,-33.818493,150.981876,NSW,No,C (Medium),Pole Concrete,21.0,Not Painted,90,6.0
NSW002288_STR_1,-32.80549,151.42134,NSW,No,C (Medium),Pole Steel,30.0,Not Painted,93,7.0
NSW002289_STR_1,-33.021595,151.53253,NSW,No,C (Medium),Pole Steel,35.0,Not Painted,50,8.0
NSW002290_STR_1,-33.070847,151.48503,NSW,No,C (Medium),Pole Concrete,30.0,Environment / Aesthetic,99,8.0
NSW002294_STR_1,-33.882683452,151.021606896,NSW,No,C (Medium),Pole Concrete,25.0,Not Painted,43,6.0
NSW002295_STR_1,-33.83929,151.10651,NSW,No,C (Medium),Pole Steel,20.0,Not Painted,70,5.0
NSW002301_STR_1,-33.82807,150.75543,NSW,No,C (Medium),Pole Steel,30.0,Environment / Aesthetic,58,9.0
NSW002309_STR_1,-33.28653,148.710745,NSW,No,B (Low),Pole Concrete,20.0,Not Painted,100,10.0
NSW002313_STR_1,-33.93439,150.88655,NSW,No,C (Medium),Pole Concrete,30.0,Not Painted,71,6.0
NSW002317_STR_1,-34.02299,150.8416,NSW,No,C (Medium),Pole Concrete,25.0,Not Painted,66,6.0
NSW002319_STR_1,-29.737921287,150.97255037,NSW,No,B (Low),Mast Guyed,81.0,Protection,100,5.0
NSW002320_STR_1,-32.76836103,151.60224164,NSW,No,C (Medium),Pole Steel,25.0,Environment / Aesthetic,60,7.0
NSW002323_STR_1,-36.728955,149.960593,NSW,No,C (Medium),Pole Concrete,30.0,Not Painted,73,7.0
NSW002324_STR_1,-35.92021,150.13478,NSW,No,C (Medium),Pole Concrete,30.0,Not Painted,75.4,8.0
NSW002326_STR_1,-33.25575,148.96816,NSW,No,B (Low),Pole Concrete,20.0,Not Painted,45,10.0
NSW002329_STR_1,-30.48325554,151.64283208,NSW,No,B (Low),Pole Steel,20.0,Not Painted,98,8.0
NSW002332_STR_1,-32.164152,152.49184,NSW,No,C (Medium),Pole Steel,30.0,Not Painted,99.2,6.0
NSW002333_STR_1,-31.89826,152.45714,NSW,No,C (Medium),Pole Concrete,30.0,Not Painted,47,6.0
NSW002334_STR_1,-31.453451,152.88242,NSW,No,C (Medium),Pole Steel,40.0,Not Painted,100,6.0
NSW002336_STR_1,-32.70484,151.70344,NSW,No,C (Medium),Pole Concrete,25.0,Not Painted,60,9.0
NSW002340_STR_1,-36.08373,146.88998,NSW,No,B (Low),Pole Steel,30.0,Not Painted,100,8.0
NSW002345_STR_1,-34.02825,150.83417,NSW,No,C (Medium),Pole Steel,25.0,Not Painted,60,6.0
NSW002349_STR_1,-33.39865,151.34348,NSW,No,C (Medium),Pole Steel,30.0,Environment / Aesthetic,90,6.0
NSW002351_STR_1,-33.7426,150.67007,NSW,No,B (Low),Pole Concrete,25.0,Not Painted,89,7.0
NSW002356_STR_1,-32.53832,151.1533,NSW,No,B (Low),Pole Concrete,26.0,Not Painted,100,9.0
NSW002367_STR_1,-34.496665184,150.890972363,NSW,No,E (Very High),Pole Steel,30.0,Not Painted,75,4.0
NSW002371_STR_1,-33.94131039,150.94131334,NSW,No,C (Medium),Pole Concrete,30.0,Not Painted,82,7.0
NSW002375_STR_1,-32.122032,149.04279,NSW,No,B (Low),Pole Concrete,26.0,Not Painted,31,9.0
NSW002383_STR_1,-33.24011,151.496968,NSW,No,C (Medium),Pole Concrete,30.0,Not Painted,98,6.0
NSW002386_STR_1,-34.17716249,151.00001742,NSW,No,C (Medium),Pole Steel,30.0,Environment / Aesthetic,100,7.0
NSW002392_STR_1,-31.425558,152.87875,NSW,No,C (Medium),Pole Concrete,30.0,Not Painted,94,6.0
NSW002395_STR_1,-33.71756,151.26418,NSW,No,C (Medium),Pole Concrete,26.0,Not Painted,77,7.0
NSW002410_STR_1,-34.072838,150.84213,NSW,No,C (Medium),Pole Steel,25.0,Not Painted,79,6.0
NSW002415_STR_1,-33.777185023,151.099137676,NSW,No,C (Medium),Pole Steel,13.8,Not Painted,66,7.0
NSW002419_STR_1,-33.775246,151.01031,NSW,No,C (Medium),Pole Concrete,25.0,Environment / Aesthetic,87,5.0
NSW002420_STR_1,-32.196293,150.47585,NSW,No,B (Low),Mast Guyed,30.0,Not Painted,80,5.0
NSW002422_STR_1,-33.741142,150.77141,NSW,No,C (Medium),Pole Concrete,30.0,Not Painted,66,6.0
NSW002434_STR_1,-35.34152745,149.24666178,NSW,No,B (Low),Pole Concrete,20.0,Not Painted,45,7.0
NSW002438_STR_1,-33.362026,151.44296,NSW,No,C (Medium),Pole Concrete,30.0,Not Painted,65,6.0
NSW002442_STR_1,-34.93647,144.7673,NSW,No,B (Low),Pole Concrete,30.0,Not Painted,78,10.0
NSW002443_STR_1,-34.047,150.85944,NSW,No,C (Medium),Pole Concrete,30.0,Environment / Aesthetic,86,8.0
NSW002447_STR_1,-30.869323921,143.708227242,NSW,No,B (Low),Mast Guyed,30.5,Not Painted,70,5.0
NSW002448_STR_1,-32.992499504,151.574602318,NSW,No,C (Medium),Pole Concrete,25.0,Environment / Aesthetic,64,7.0
NSW002451_STR_1,-33.76289,150.78932,NSW,No,C (Medium),Pole Steel,25.0,Not Painted,25,6.0
NSW002454_STR_1,-33.676801167,151.287687077,NSW,No,C (Medium),Pole Steel,13.8,Not Painted,80,6.0
NSW002464_STR_1,-34.647161111,150.250422222,NSW,No,B (Low),Pole Concrete,30.0,Not Painted,95,10.0
NSW002465_STR_1,-33.693443,150.84041,NSW,No,C (Medium),Pole Steel,35.0,Not Painted,95,8.0
NSW002466_STR_1,-34.400326,150.89656,NSW,No,E (Very High),Pole Steel,30.0,Not Painted,40,4.0
NSW002467_STR_1,-34.370115005,150.925863064,NSW,No,E (Very High),Pole Concrete,30.0,Not Painted,90,5.0
NSW002470_STR_1,-33.7425027,150.92334789,NSW,No,C (Medium),Pole Steel,19.1,Environment / Aesthetic,94,6.0
NSW002474_STR_1,-34.56853,150.86603,NSW,No,E (Very High),Pole Steel,35.0,Not Painted,89,4.0
NSW002480_STR_1,-32.899277,151.75233,NSW,No,C (Medium),Pole Steel,23.0,Not Painted,72,6.0
NSW002490_STR_1,-32.270653,148.60326,NSW,No,B (Low),Pole Steel,30.0,Not Painted,94,7.0
NSW002491_STR_1,-32.236920603,148.580016589,NSW,No,B (Low),Pole Steel,30.0,Not Painted,98,7.0
NSW002493_STR_1,-35.564335,150.27396,NSW,No,C (Medium),Tower Steel,50.0,Not Painted,78,6.0
NSW002493_STR_2,-35.564452259,150.273921851,NSW,No,C (Medium),Tower Steel,50.0,Not Painted,78,4.0
NSW002494_STR_1,-32.826405,151.71683,NSW,No,C (Medium),Pole Steel,35.0,Environment / Aesthetic,42,7.0
NSW002497_STR_1,-32.021324916,149.995802083,NSW,No,B (Low),Pole Concrete,26.0,Not Painted,100,10.0
NSW002503_STR_1,-34.989044,150.71954,NSW,No,E (Very High),Pole Concrete,40.0,Environment / Aesthetic,83,5.0
NSW002510_STR_1,-33.838257,150.9972,NSW,No,C (Medium),Pole Timber,15.98,Not Painted,95,6.0
NSW002511_STR_1,-34.038963,150.7613,NSW,No,C (Medium),Pole Steel,30.0,Not Painted,73,6.0
NSW002518_STR_1,-33.86512,151.06357,NSW,No,C (Medium),Pole Concrete,30.0,Not Painted,54,6.0
NSW002520_STR_1,-33.739487,151.28622,NSW,No,C (Medium),Pole Concrete,25.0,Not Painted,40,7.0
NSW002526_STR_1,-32.26151,149.77522,NSW,No,B (Low),Pole Steel,28.8,Not Painted,98,9.0
NSW002527_STR_1,-32.909912,151.74007,NSW,No,C (Medium),Pole Steel,25.0,Not Painted,53,6.0
NSW002528_STR_1,-32.941826,151.75488,NSW,No,E (Very High),Pole Steel,20.0,Not Painted,60,4.0
NSW002529_STR_1,-32.929793543,151.635651279,NSW,No,C (Medium),Pole Concrete,25.0,Environment / Aesthetic,57,7.0
NSW002537_STR_1,-32.88126,151.68425,NSW,No,C (Medium),Pole Steel,30.0,Not Painted,47,7.0
NSW002538_STR_1,-33.425657827,150.106291856,NSW,No,B (Low),Pole Steel,30.0,Environment / Aesthetic,95,9.0
NSW002539_STR_1,-33.510833105,150.114810646,NSW,No,B (Low),Pole Steel,30.0,Environment / Aesthetic,34,9.0
NSW002541_STR_1,-32.76771,151.63171,NSW,No,C (Medium),Pole Steel,40.0,Environment / Aesthetic,77,6.0
NSW002549_STR_1,-35.07791,147.40064,NSW,No,B (Low),Pole Steel,30.44,Not Painted,85,8.0
NSW002552_STR_1,-30.352877,153.07683,NSW,No,C (Medium),Pole Steel,25.0,Not Painted,50,7.0
NSW002553_STR_1,-30.288335994,153.127783348,NSW,No,C (Medium),Pole Concrete,35.0,Not Painted,95,6.0
NSW002575_STR_1,-28.81438,153.40322,NSW,No,C (Medium),Pole Steel,40.0,Not Painted,81,8.0
NSW002585_STR_1,-33.439734312,151.371196203,NSW,No,C (Medium),Pole Steel,30.0,Environment / Aesthetic,60,7.0
NSW002590_STR_1,-33.97443,151.2168,NSW,No,C (Medium),Pole Concrete,30.0,Environment / Aesthetic,94,6.0
NSW002593_STR_1,-33.42254,151.31985,NSW,No,C (Medium),Pole Steel,30.0,Not Painted,70,6.0
NSW002594_STR_1,-36.85497,149.918262,NSW,No,C (Medium),Pole Concrete,40.0,Environment / Aesthetic,94,8.0
NSW002603_STR_1,-33.941001,150.72613,NSW,No,C (Medium),Pole Concrete,33.0,Not Painted,100,9.0
NSW002604_STR_1,-34.1009,150.8027,NSW,No,C (Medium),Pole Steel,20.0,Not Painted,26,6.0
NSW002605_STR_1,-36.059672,150.129544,NSW,No,E (Very High),Pole Steel,23.8,Environment / Aesthetic,100,4.0
NSW002607_STR_1,-33.255096,151.49507,NSW,No,C (Medium),Pole Concrete,25.0,Not Painted,80,6.0
NSW002612_STR_1,-33.6974,150.36192,NSW,No,B (Low),Pole Concrete,25.0,Not Painted,54,8.0
NSW002613_STR_1,-33.71519157,150.50388117,NSW,No,B (Low),Pole Concrete,35.0,Environment / Aesthetic,91,9.0
NSW002616_STR_1,-33.75302,150.94359,NSW,No,C (Medium),Pole Steel,20.0,Not Painted,100,7.0
NSW002620_STR_2,-33.158039,151.080755,NSW,No,C (Medium),Triad Steel,15.0,Not Painted,70,5.0
NSW002623_STR_1,-31.492653862,151.703942654,NSW,No,B (Low),Pole Steel,30.0,Not Painted,28,10.0
NSW002630_STR_1,-33.70465,150.92992,NSW,No,C (Medium),Pole Steel,31.38,Environment / Aesthetic,100,6.0
NSW002632_STR_1,-34.05743,150.78334,NSW,No,C (Medium),Pole Steel,20.0,Not Painted,97,8.0
NSW002634_STR_1,-33.79027,150.80705,NSW,No,C (Medium),Pole Concrete,20.0,Not Painted,44,6.0
NSW002635_STR_1,-33.81293,150.95164,NSW,No,C (Medium),Pole Concrete,20.0,Not Painted,90,6.0
NSW002636_STR_1,-33.78475,150.77138,NSW,No,C (Medium),Pole Concrete,30.0,Environment / Aesthetic,40,6.0
NSW002637_STR_1,-33.93139,150.98833,NSW,No,C (Medium),Pole Steel,25.0,Not Painted,35,6.0
NSW002640_STR_1,-33.846376636,150.688745636,NSW,No,C (Medium),Pole Concrete,30.0,Environment / Aesthetic,40,9.0
NSW002641_STR_1,-34.0043,150.84258,NSW,No,C (Medium),Pole Concrete,30.0,Not Painted,99,6.0
NSW002657_STR_1,-33.86096074,150.97594879,NSW,No,C (Medium),Pole Concrete,25.0,Not Painted,43,6.0
