AMSAssetRef,Latitude,Longitude,State,SnowIceRegion,CorrosionRegionType,StructureClassCode,Height,PaintingType,StructureLoadPercentage,InspectionFrequency
VIC002799_STR_1,-38.10704,145.23209,VIC,No,B (Low),Pole Steel,30.0,Environment / Aesthetic,84,9.0
VIC002801_STR_1,-38.090005291,145.294058894,VIC,No,B (Low),Pole Steel,30.0,Not Painted,99,7.0
VIC002808_STR_1,-37.881355,145.36307,VIC,No,B (Low),Pole Steel,30.0,Environment / Aesthetic,73,7.0
VIC002810_STR_1,-37.4307416,149.12987619,VIC,No,C (Medium),Mast Free Standing,28.7,Not Painted,100,5.0
VIC002811_STR_1,-37.58130892,143.87120372,VIC,No,B (Low),Pole Steel,35.0,Not Painted,57,8.0
VIC002827_STR_1,-37.628604,144.878752,VIC,No,B (Low),Pole Steel,35.0,Not Painted,73.2,7.0
VIC002829_STR_1,-38.37506,146.26329,VIC,No,B (Low),Pole Steel,40.23,Environment / Aesthetic,92,9.0
VIC002830_STR_1,-36.394223239,143.974216333,VIC,No,B (Low),Mast Guyed,60.0,Not Painted,50,5.0
VIC002831_STR_1,-38.36053,147.17729,VIC,No,C (Medium),Pole Steel,40.0,Environment / Aesthetic,40,8.0
VIC002832_STR_1,-37.822224,144.924374,VIC,No,B (Low),Pole Steel,30.0,Not Painted,90,8.0
VIC002833_STR_1,-36.238804,146.24509,VIC,No,B (Low),Mast Guyed,60.0,Aviation,50,5.0
VIC002834_STR_1,-37.98417,145.19084,VIC,No,B (Low),Pole Steel,30.0,Not Painted,64,7.0
VIC002836_STR_1,-38.057522605,145.376469596,VIC,No,B (Low),Pole Concrete,40.0,Not Painted,73,8.0
VIC002838_STR_1,-37.99212,145.35033,VIC,No,B (Low),Pole Steel,28.8,Environment / Aesthetic,65,9.0
VIC002846_STR_1,-36.37307,145.4625,VIC,No,B (Low),Mast Guyed,60.0,Not Painted,97,5.0
VIC002847_STR_1,-36.34814,145.3713,VIC,No,B (Low),Mast Guyed,60.0,Not Painted,100,5.0
VIC002848_STR_1,-38.03160723,145.30466683,VIC,No,B (Low),Pole Steel,25.0,Not Painted,98,7.0
VIC002853_STR_1,-36.13407,146.99475,VIC,No,B (Low),Pole Steel,40.0,Environment / Aesthetic,99,8.0
VIC002857_STR_1,-36.17049,145.87962,VIC,No,B (Low),Mast Guyed,60.0,Protection,58,5.0
VIC002858_STR_1,-38.14328,144.60017,VIC,No,C (Medium),Pole Concrete,9.3,Not Painted,100,9.0
VIC002859_STR_1,-38.300198,144.31674,VIC,No,C (Medium),Pole Steel,35.0,Environment / Aesthetic,76,9.0
VIC002864_STR_1,-37.86102,144.649608,VIC,No,B (Low),Pole Steel,30.0,Environment / Aesthetic,96,7.0
VIC002867_STR_1,-38.296977,144.351225,VIC,No,C (Medium),Pole Steel,35.0,Environment / Aesthetic,85,9.0
VIC002873_STR_1,-38.28011,144.59913,VIC,No,E (Very High),Pole Steel,30.0,Environment / Aesthetic,98,5.0
VIC002875_STR_1,-37.706474,144.567,VIC,No,B (Low),Pole Steel,25.0,Not Painted,66,7.0
VIC002888_STR_1,-36.507491702,145.975634867,VIC,No,B (Low),Mast Guyed,60.0,Not Painted,87,5.0
VIC002890_STR_1,-38.101962,145.18675,VIC,No,B (Low),Pole Steel,20.0,Environment / Aesthetic,35,7.0
VIC002892_STR_1,-37.845892,145.249117,VIC,No,B (Low),Pole Concrete,30.0,Environment / Aesthetic,75,7.0
VIC002898_STR_1,-37.66508,144.94545,VIC,No,B (Low),Pole Steel,30.0,Not Painted,89,8.0
VIC002904_STR_1,-37.6736,144.95895,VIC,No,B (Low),Pole Concrete,25.0,Not Painted,83,7.0
VIC002909_STR_1,-37.944447,145.09251,VIC,No,B (Low),Pole Concrete,27.0,Not Painted,50,9.0
VIC002930_STR_1,-37.70704,144.98244,VIC,No,B (Low),Pole Concrete,25.0,Not Painted,99,7.0
VIC002946_STR_1,-38.008682,145.22865,VIC,No,B (Low),Pole Steel,25.0,Not Painted,45,7.0
VIC002954_STR_1,-37.611008139,143.829094414,VIC,No,B (Low),Pole Steel,35.0,Environment / Aesthetic,47,9.0
VIC002957_STR_1,-38.402145,144.85497,VIC,No,C (Medium),Pole Concrete,25.0,Not Painted,95,8.0
VIC002964_STR_1,-36.855175,144.28882,VIC,No,B (Low),Pole Steel,35.0,Environment / Aesthetic,64,9.0
VIC002965_STR_1,-37.85711,144.88845,VIC,No,B (Low),Pole Steel,25.0,Not Painted,70,7.0
VIC002967_STR_1,-38.248306,144.69447,VIC,No,E (Very High),Pole Steel,20.0,Protection,61,5.0
VIC002973_STR_1,-34.235806,142.09598,VIC,No,B (Low),Pole Steel,35.0,Environment / Aesthetic,84,10.0
VIC002978_STR_1,-37.560442055,142.748731398,VIC,No,B (Low),Pole Steel,30.0,Environment / Aesthetic,50,10.0
VIC002981_STR_1,-36.656254,146.87605,VIC,No,B (Low),Pole Concrete,35.0,Environment / Aesthetic,95,10.0
VIC002982_STR_1,-36.598595,145.87158,VIC,No,B (Low),Mast Guyed,70.0,Not Painted,82,5.0
VIC002987_STR_1,-37.383595,144.32185,VIC,No,B (Low),Pole Steel,35.0,Environment / Aesthetic,76,8.0
VIC002989_STR_1,-38.68271,143.38665,VIC,No,C (Medium),Pole Steel,25.0,Environment / Aesthetic,45,6.0
VIC002990_STR_1,-35.5251,143.9391,VIC,No,B (Low),Pole Concrete,40.0,Not Painted,32,9.0
VIC003010_STR_1,-36.31346,143.5524,VIC,No,B (Low),Pole Concrete,40.0,Not Painted,100,10.0
VIC003011_STR_1,-38.195065,146.5372,VIC,No,B (Low),Pole Concrete,20.0,Not Painted,50,7.0
VIC003013_STR_1,-38.37203,145.12484,VIC,No,C (Medium),Pole Steel,30.0,Environment / Aesthetic,51,6.0
VIC003018_STR_1,-38.174404,144.29825,VIC,No,B (Low),Pole Concrete,35.0,Environment / Aesthetic,55,7.0
VIC003019_STR_1,-38.02284,144.38113,VIC,No,B (Low),Pole Steel,23.8,Not Painted,52,8.0
VIC003021_STR_1,-38.18149,144.38115,VIC,No,C (Medium),Pole Steel,25.0,Environment / Aesthetic,54,6.0
VIC003022_STR_1,-38.173992,144.36586,VIC,No,B (Low),Pole Steel,18.8,Not Painted,70,5.0
VIC003023_STR_1,-38.16845655,144.41974677,VIC,No,B (Low),Pole Steel,28.9,Not Painted,96,5.0
VIC003024_STR_1,-38.172324,144.444585,VIC,No,C (Medium),Pole Steel,30.0,Environment / Aesthetic,60,8.0
VIC003028_STR_1,-37.80635,144.85532,VIC,No,B (Low),Pole Steel,30.0,Environment / Aesthetic,60,5.0
VIC003030_STR_1,-38.086445,145.78181,VIC,No,B (Low),Pole Concrete,40.0,Environment / Aesthetic,44,9.0
VIC003031_STR_1,-37.58242235,144.69419281,VIC,No,B (Low),Pole Concrete,25.0,Not Painted,85,8.0
VIC003032_STR_1,-38.59570064,142.93985644,VIC,No,C (Medium),Pole Steel,35.0,Environment / Aesthetic,47,9.0
VIC003033_STR_1,-37.132027,144.86632,VIC,No,B (Low),Pole Steel,35.0,Not Painted,56,8.0
VIC003039_STR_1,-38.087765,145.4429,VIC,No,B (Low),Pole Concrete,40.0,Environment / Aesthetic,77,9.0
VIC003040_STR_1,-38.00382,145.32872,VIC,No,B (Low),Tower Steel,35.0,Not Painted,50,7.0
VIC003042_STR_1,-38.0096929,145.11774574,VIC,No,B (Low),Pole Steel,20.0,Not Painted,50,7.0
VIC003044_STR_1,-37.937828,144.67285,VIC,No,B (Low),Pole Steel,30.0,Not Painted,100,8.0
VIC003045_STR_1,-38.046470183,141.01315696,VIC,No,C (Medium),Pole Steel,25.0,Not Painted,71,9.0
VIC003055_STR_1,-38.029163,145.1785,VIC,No,B (Low),Pole Steel,35.0,Environment / Aesthetic,80,9.0
VIC003056_STR_1,-38.430138,144.8588,VIC,No,C (Medium),Pole Steel,16.98,Environment / Aesthetic,94,8.0
VIC003063_STR_1,-38.186788,147.147347,VIC,No,C (Medium),Pole Concrete,40.0,Environment / Aesthetic,75,9.0
